questions,responses,rt,time_elapsed,trial_index,trial_type,pid
"['How did you decide whether or not the ball would go in the hole?', 'Did you change your strategy at any point during the experiment?', ""Anything else you'd like to tell us?""]","{'Q1': 'No', 'Q2': '', 'Q0': 'I tried to quickly negotiate the angles'}",17348.0,880842.0,156.0,survey-text,0
"['How did you decide whether or not the ball would go in the hole?', 'Did you change your strategy at any point during the experiment?', ""Anything else you'd like to tell us?""]","{'Q1': 'no', 'Q2': 'no', 'Q0': 'i tried to see where it was going bounce first and where its projection would go from there.'}",50603.0,1099307.0,156.0,survey-text,1
"['How did you decide whether or not the ball would go in the hole?', 'Did you change your strategy at any point during the experiment?', ""Anything else you'd like to tell us?""]","{'Q1': 'no', 'Q2': 'no', 'Q0': 'where it would bounce off the wall from what angle'}",37368.0,1194186.0,156.0,survey-text,2
"['How did you decide whether or not the ball would go in the hole?', 'Did you change your strategy at any point during the experiment?', ""Anything else you'd like to tell us?""]","{'Q1': 'Yes, at some point I realized that it was taking far to long to try to visualize where the ball would go, and just started taking my best instinctive guess.', 'Q2': '', 'Q0': 'I tried to visualize the route'}",78428.0,785020.0,156.0,survey-text,3
"['How did you decide whether or not the ball would go in the hole?', 'Did you change your strategy at any point during the experiment?', ""Anything else you'd like to tell us?""]","{'Q1': 'No.', 'Q2': 'No.', 'Q0': ""Subconsciously. I've always been able to pick out trajectory in games like billiards, etc, with ease.""}",32248.0,855794.0,156.0,survey-text,4
"['How did you decide whether or not the ball would go in the hole?', 'Did you change your strategy at any point during the experiment?', ""Anything else you'd like to tell us?""]","{'Q1': 'not really, but I did adjust which seemed to be for the worse', 'Q2': 'no', 'Q0': 'I tried to follow possible paths and see if it was possible for it to get there from where it was'}",68279.0,782302.0,156.0,survey-text,5
"['How did you decide whether or not the ball would go in the hole?', 'Did you change your strategy at any point during the experiment?', ""Anything else you'd like to tell us?""]","{'Q1': 'noe', 'Q2': 'no', 'Q0': 'tried to anticipate the bouncing pattern. '}",24594.0,1039577.0,156.0,survey-text,7
"['How did you decide whether or not the ball would go in the hole?', 'Did you change your strategy at any point during the experiment?', ""Anything else you'd like to tell us?""]","{'Q1': 'When I saw I was doing poorly I tried to think about the path more.', 'Q2': 'I really enjoyed this.', 'Q0': 'I tried to visualize the complete path based on the starting trajectory. '}",85586.0,1148508.0,156.0,survey-text,8
"['How did you decide whether or not the ball would go in the hole?', 'Did you change your strategy at any point during the experiment?', ""Anything else you'd like to tell us?""]","{'Q1': 'no', 'Q2': 'enjoyed', 'Q0': 'where i thought it would go'}",12396.0,519928.0,156.0,survey-text,9
"['How did you decide whether or not the ball would go in the hole?', 'Did you change your strategy at any point during the experiment?', ""Anything else you'd like to tell us?""]","{'Q1': 'take more chances with YES', 'Q2': 'Interesting test. Good luck ', 'Q0': 'Probability of Angel, Like kayram game'}",170280.0,1451682.0,158.0,survey-text,10
