correct,questions,responses,rt,time_elapsed,trial_index,trial_type,pid
"[True, True]","[""Which key should you press if you think the ball\nwill bounce off the back wall and then fly through\nthe hole in the center wall?"",""Which key should you press if you think the ball will\nbounce off the center wall, then the back wall,\nand then fly through the hole in the center wall?""]","[""q (yes)"",""p (no)""]",19220.0,85470.0,3.0,survey-multi-choice,0
"[False, False, False]","[""The ball is <b>more</b> likely to go in when the background is..."",""The ball is <b>less</b> likely to go in when the background is..."",""How confident are you in your responses to the previous two questions?""]","[""<span style='color: #53BA42'><b>Green</b></span>"",""<span style='color: #E3B643'><b>Yellow</b></span>"",""a little""]",8652.0,890505.0,157.0,survey-multi-choice,0
"[True, True]","[""Which key should you press if you think the ball\nwill bounce off the back wall and then fly through\nthe hole in the center wall?"",""Which key should you press if you think the ball will\nbounce off the center wall, then the back wall,\nand then fly through the hole in the center wall?""]","[""q (yes)"",""p (no)""]",17315.0,101668.0,3.0,survey-multi-choice,1
"[True, True, False]","[""The ball is <b>more</b> likely to go in when the background is..."",""The ball is <b>less</b> likely to go in when the background is..."",""How confident are you in your responses to the previous two questions?""]","[""<span style='color: #4C4FE1'><b>Blue</b></span>"",""<span style='color: #E3B643'><b>Yellow</b></span>"",""not at all""]",29693.0,1130066.0,157.0,survey-multi-choice,1
"[True, True]","[""Which key should you press if you think the ball\nwill bounce off the back wall and then fly through\nthe hole in the center wall?"",""Which key should you press if you think the ball will\nbounce off the center wall, then the back wall,\nand then fly through the hole in the center wall?""]","[""q (yes)"",""p (no)""]",32344.0,116810.0,3.0,survey-multi-choice,2
"[True, True, False]","[""The ball is <b>more</b> likely to go in when the background is..."",""The ball is <b>less</b> likely to go in when the background is..."",""How confident are you in your responses to the previous two questions?""]","[""<span style='color: #4C4FE1'><b>Blue</b></span>"",""<span style='color: #E3B643'><b>Yellow</b></span>"",""not at all""]",22142.0,1217336.0,157.0,survey-multi-choice,2
"[True, True]","[""Which key should you press if you think the ball\nwill bounce off the back wall and then fly through\nthe hole in the center wall?"",""Which key should you press if you think the ball will\nbounce off the center wall, then the back wall,\nand then fly through the hole in the center wall?""]","[""q (yes)"",""p (no)""]",15725.0,90015.0,3.0,survey-multi-choice,3
"[False, True, False]","[""The ball is <b>more</b> likely to go in when the background is..."",""The ball is <b>less</b> likely to go in when the background is..."",""How confident are you in your responses to the previous two questions?""]","[""<span style='color: #4C4FE1'><b>Blue</b></span>"",""<span style='color: #53BA42'><b>Green</b></span>"",""not at all""]",13364.0,799389.0,157.0,survey-multi-choice,3
"[True, True]","[""Which key should you press if you think the ball\nwill bounce off the back wall and then fly through\nthe hole in the center wall?"",""Which key should you press if you think the ball will\nbounce off the center wall, then the back wall,\nand then fly through the hole in the center wall?""]","[""q (yes)"",""p (no)""]",20327.0,74887.0,3.0,survey-multi-choice,4
"[False, False, False]","[""The ball is <b>more</b> likely to go in when the background is..."",""The ball is <b>less</b> likely to go in when the background is..."",""How confident are you in your responses to the previous two questions?""]","[""<span style='color: #53BA42'><b>Green</b></span>"",""<span style='color: #4C4FE1'><b>Blue</b></span>"",""not at all""]",12416.0,869226.0,157.0,survey-multi-choice,4
"[True, True]","[""Which key should you press if you think the ball\nwill bounce off the back wall and then fly through\nthe hole in the center wall?"",""Which key should you press if you think the ball will\nbounce off the center wall, then the back wall,\nand then fly through the hole in the center wall?""]","[""q (yes)"",""p (no)""]",17408.0,105811.0,3.0,survey-multi-choice,5
