questions,responses,rt,time_elapsed,trial_index,trial_type,pid
"['How did you decide whether or not the ball would go in the hole?', 'Did you change your strategy at any point during the experiment?', ""Anything else you'd like to tell us?""]","{'Q1': 'No.', 'Q2': 'Fun task, thanks!', 'Q0': 'Guess which part of the wall it hits and what direction it would go after.'}",46006.0,1360373.0,156.0,survey-text,0
"['How did you decide whether or not the ball would go in the hole?', 'Did you change your strategy at any point during the experiment?', ""Anything else you'd like to tell us?""]","{'Q1': 'No', 'Q2': '', 'Q0': ""I tried to extend the line of it's path in my mind. ""}",26072.0,1236485.0,158.0,survey-text,1
"['How did you decide whether or not the ball would go in the hole?', 'Did you change your strategy at any point during the experiment?', ""Anything else you'd like to tell us?""]","{'Q1': 'The more weird the position, it might went into the hole', 'Q2': 'Thanks.. maybe I should paid attention to the colors?', 'Q0': 'I tried to imagine where it goes and bounces'}",93036.0,1244232.0,158.0,survey-text,2
"['How did you decide whether or not the ball would go in the hole?', 'Did you change your strategy at any point during the experiment?', ""Anything else you'd like to tell us?""]","{'Q1': 'Nope', 'Q2': 'Interesting game, thanks for the opportunity!', 'Q0': 'Tried to imagine what the trajectory of the ball would be after the start of the path was shown.'}",43340.0,1195543.0,158.0,survey-text,3
"['How did you decide whether or not the ball would go in the hole?', 'Did you change your strategy at any point during the experiment?', ""Anything else you'd like to tell us?""]","{'Q1': 'Not really.', 'Q2': ""I feel that you sped up and slowed down the ball for different trials. If the ball moved at the same speed every time it would've been a bit easier to predict."", 'Q0': 'I just planned ahead by analyzing the angles it would take once it hit the first wall.'}",166019.0,1193915.0,156.0,survey-text,4
"['How did you decide whether or not the ball would go in the hole?', 'Did you change your strategy at any point during the experiment?', ""Anything else you'd like to tell us?""]","{'Q1': 'I did not, even though I should have when my scores were lower.', 'Q2': 'I have nothing further to add at this time.', 'Q0': 'I looked at the trajectory and made my best guess.'}",38896.0,1587667.0,160.0,survey-text,5
"['How did you decide whether or not the ball would go in the hole?', 'Did you change your strategy at any point during the experiment?', ""Anything else you'd like to tell us?""]","{'Q1': ""No I didn't."", 'Q2': 'Thank you! ', 'Q0': 'I tried to project the trajectory.'}",19977.0,875279.0,156.0,survey-text,6
"['How did you decide whether or not the ball would go in the hole?', 'Did you change your strategy at any point during the experiment?', ""Anything else you'd like to tell us?""]","{'Q1': 'no', 'Q2': 'this was fun', 'Q0': 'I kinda of visioned how it would bounce and decided from there'}",26055.0,494640.0,160.0,survey-text,7
"['How did you decide whether or not the ball would go in the hole?', 'Did you change your strategy at any point during the experiment?', ""Anything else you'd like to tell us?""]","{'Q1': 'No', 'Q2': 'it was tough on the wrists!', 'Q0': 'I estimated what the angle would be, and so where it would bounce back to'}",100965.0,1138733.0,160.0,survey-text,8
"['How did you decide whether or not the ball would go in the hole?', 'Did you change your strategy at any point during the experiment?', ""Anything else you'd like to tell us?""]","{'Q1': 'no', 'Q2': 'I am apparently terrible at prediction', 'Q0': 'I tried to figure out the angle'}",43216.0,1144513.0,158.0,survey-text,9
