correct,questions,responses,rt,time_elapsed,trial_index,trial_type,pid
"[True, True, True]","[""Which key should you press if you think the ball\nwill bounce off the back wall and then fly through\nthe hole in the center wall?"",""Which key should you press if you think the ball will\nbounce off the center wall, then the back wall,\nand then fly through the hole in the center wall?"",""What color is Player B's court?""]","[""q (yes)"",""p (no)"",""blue""]",49694.0,360116.0,3.0,survey-multi-choice,0
"[False, True, False]","[""Which player is trying to get the ball <b>into</b> the hole?"",""Which player is trying to <b>avoid</b> the hole?"",""How confident are you in your response to the previous two questions?""]","[""<span style='color: #53BA42'><b>Player G</b></span>"",""<span style='color: #E3B643'><b>Player Y</b></span>"",""a little""]",34941.0,1396332.0,157.0,survey-multi-choice,0
"[True, False, True]","[""Which key should you press if you think the ball\nwill bounce off the back wall and then fly through\nthe hole in the center wall?"",""Which key should you press if you think the ball will\nbounce off the center wall, then the back wall,\nand then fly through the hole in the center wall?"",""What color is Player B's court?""]","[""q (yes)"",""q (yes)"",""blue""]",20822.0,142213.0,3.0,survey-multi-choice,1
"[True, True, True]","[""Which key should you press if you think the ball\nwill bounce off the back wall and then fly through\nthe hole in the center wall?"",""Which key should you press if you think the ball will\nbounce off the center wall, then the back wall,\nand then fly through the hole in the center wall?"",""What color is Player B's court?""]","[""q (yes)"",""p (no)"",""blue""]",13258.0,180973.0,5.0,survey-multi-choice,1
"[True, True, False]","[""Which player is trying to get the ball <b>into</b> the hole?"",""Which player is trying to <b>avoid</b> the hole?"",""How confident are you in your response to the previous two questions?""]","[""<span style='color: #4C4FE1'><b>Player B</b></span>"",""<span style='color: #E3B643'><b>Player Y</b></span>"",""not at all""]",18399.0,1255912.0,159.0,survey-multi-choice,1
"[True, False, True]","[""Which key should you press if you think the ball\nwill bounce off the back wall and then fly through\nthe hole in the center wall?"",""Which key should you press if you think the ball will\nbounce off the center wall, then the back wall,\nand then fly through the hole in the center wall?"",""What color is Player B's court?""]","[""q (yes)"",""q (yes)"",""blue""]",37348.0,154704.0,3.0,survey-multi-choice,2
"[True, True, True]","[""Which key should you press if you think the ball\nwill bounce off the back wall and then fly through\nthe hole in the center wall?"",""Which key should you press if you think the ball will\nbounce off the center wall, then the back wall,\nand then fly through the hole in the center wall?"",""What color is Player B's court?""]","[""q (yes)"",""p (no)"",""blue""]",91320.0,311221.0,5.0,survey-multi-choice,2
"[True, True, False]","[""Which player is trying to get the ball <b>into</b> the hole?"",""Which player is trying to <b>avoid</b> the hole?"",""How confident are you in your response to the previous two questions?""]","[""<span style='color: #E3B643'><b>Player Y</b></span>"",""<span style='color: #53BA42'><b>Player G</b></span>"",""not at all""]",13386.0,1258637.0,159.0,survey-multi-choice,2
"[True, False, True]","[""Which key should you press if you think the ball\nwill bounce off the back wall and then fly through\nthe hole in the center wall?"",""Which key should you press if you think the ball will\nbounce off the center wall, then the back wall,\nand then fly through the hole in the center wall?"",""What color is Player B's court?""]","[""q (yes)"",""q (yes)"",""blue""]",17972.0,84051.0,3.0,survey-multi-choice,3
"[True, True, True]","[""Which key should you press if you think the ball\nwill bounce off the back wall and then fly through\nthe hole in the center wall?"",""Which key should you press if you think the ball will\nbounce off the center wall, then the back wall,\nand then fly through the hole in the center wall?"",""What color is Player B's court?""]","[""q (yes)"",""p (no)"",""blue""]",11466.0,129707.0,5.0,survey-multi-choice,3
"[True, False, False]","[""Which player is trying to get the ball <b>into</b> the hole?"",""Which player is trying to <b>avoid</b> the hole?"",""How confident are you in your response to the previous two questions?""]","[""<span style='color: #53BA42'><b>Player G</b></span>"",""<span style='color: #E3B643'><b>Player Y</b></span>"",""a little""]",34236.0,1230791.0,159.0,survey-multi-choice,3
